Account ID,Account Description,Item Code,Item Description,Base Price,Taxable,Item Nickname,Warehouse,Qualifiers,Qualifier Rates
40801,Materials By The Unit,MBTP - P,Materials Purchase,2,Yes,Unit,No,,
,,MBTP - MM,$100 Materials Membership,100,No,Membership,No,,
,,MBTP - SM,School Membership (in excess of $100),100,No,Membership,No,,
,,MBTP - CR,Cart Refill,400,Yes,Refill,Yes,,
,,,,,,,,,
40803,Outreach Events,OE - CUS,Customized Outreach Program/Event,750,No,Event,No,,
,,OE - TT,Teacher Training (Professional Development),750,No,Training,No,,
,,OE - WGW,What Goes Where,750,No,Event,No,,
,,OE - EV,Eco-Vehicle,750,No,Event,No,,
,,OE - RS,Reach for the Sky,750,No,Event,No,,
,,OE - URM,Ultimate Recycling Machine,750,No,Event,No,,
,,OE - BBM,Beats By Me,750,No,Event,No,,
,,OE - MR,Mileage Reimbursement,0.59,No,Mile,No,,
,,,,,,,,,
40804,Products,P - NASA,NASA Cart,1200,Yes,Cart,Yes,,
,,P - SC,STEAM Cart,1200,Yes,Cart,Yes,,
,,P - CP,Custom Project,0,Yes,Project,Yes,,
,,P - SL,STEAM Lab,5000,Yes,Lab,Yes,,
,,P - O,Other,0,Yes,Product,Yes,,
,,,,,,,,,
40806,Warehouse Events,WE - SC,Spontaneous Creations,10,No,Creator,Yes,,
,,WE - FT,Field Trip,500,No,Trip,Yes,,
,,WE - PP,Private Party (birthday or other),400,No,Party,Yes,,
,,WE - TT,Teacher Training (Professional Development),500,No,Training,Yes,,
,,WE - O,"Other (Corporate Team-Building, etc.)",500,No,Event,Yes,,
,,,,,,,,,
40807,Grants,GR,Grant,0,No,Grant,No,,
,,,,,,,,,
40810,Donations,DON,Donation,0,No,Donation,No,,
,,,,,,,,,
40812,Corporate Donations,CDON,Corporate Donation,0,No,Donation,No,,
